rank,name,country,distance(meters)
1,Mauro Vinicius DA SILVA,BRA,8.11 
2,Marquise GOODWIN,USA,8.11
3,Aleksandr MENKOV,RUS,8.09
4,Greg RUTHERFORD,GBR,8.08
5,Christopher TOMLINSON,GBR,8.06
6,Michel TORNEUS,SWE,8.03
7,Godfrey Khotso MOKOENA,RSA,8.02
8,Will CLAYE,USA,7.99
9,Mitchell WATT,AUS,7.99
10,Tyrone SMITH,BER,7.97
11,Henry FRAYNE,AUS,7.95
12,Sebastian BAYER,GER,7.92
13,Christian REIF,GER,7.92
14,Eusebio CACERES,ESP,7.92
15,Aleksandr PETROV,RUS,7.89
16,Sergey MORGUNOV,RUS,7.87
17,Mohammad ARZANDEH,IRI,7.84
18,Ignisious GAISAH,GHA,7.79
19,Damar FORBES,JAM,7.79
20,Jinzhe LI,CHN,7.77
21,Raymond HIGGS,BAH,7.76
22,Alyn CAMARA,GER,7.72
23,Salim SDIRI,FRA,7.71
24,Ndiss Kaba BADJI,SEN,7.66
25,Arsen SARGSYAN,ARM,7.62
26,Povilas MYKOLAITIS,LTU,7.61
27,Stanley GBAGBEKE,NGR,7.59
28,Marcos CHUVA,POR,7.55
29,Louis TSATOUMAS,GRE,7.53
30,Stepan WAGNER,CZE,7.50
31,Viktor KUZNYETSOV,UKR,7.50
32,Luis RIVERA,MEX,7.42
33,Ching-Hsuan LIN,TPE,7.38
33,Supanara SUKHASVASTI N A,THA,7.38
35,Boleslav SKHIRTLADZE,GEO,7.26
36,Xiaoyi ZHANG,CHN,7.25
37,Mohamed Fathalla DIFALLAH,EGY,7.08
38,Roman NOVOTNY,CZE,6.96
39,George KITCHENS,USA,6.84
40,Vardan PAHLEVANYAN,ARM,6.55